Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),73/512,8.634527083161278e-41,1.997715584240496e-38,0,0,9.62404943947037,887.8206768318194,RB1;NDUFA13;KDM5C;KDM1A;LDB1;CTCF;AHR;PTPRK;BRCA1;RBPJ;FOXM1;ELK3;MECP2;NIPBL;SUMO1;TRIM28;KAT5;SIN3A;RACK1;ANKRD1;KLF10;DAXX;SMARCC2;TERF1;FOXP1;ZEB1;TRAF6;TP53;CLOCK;CEBPA;HDAC2;HDAC3;CTBP2;HDAC1;ASCL1;HDAC6;RELA;FOXS1;BTAF1;BRD7;MTA3;ZBTB7A;RUNX1T1;SMAD2;ATF7IP;KDM4A;TCF7L2;JUN;XRCC6;SMAD4;UBE2I;POU2F1;VDR;CBX3;MBD2;NR2F2;KLF4;PML;SMARCA4;HEYL;GCLC;REST;BCL6;BHLHE40;SP3;MDM2;ZNF217;CTNNB1;TAF7;BCOR;LHX9;RCOR1;EZH2,GO_Biological_Process_2018
positive regulation of nucleic acid-templated transcription (GO:1903508),72/502,2.1242526528879373e-40,4.5051858346665e-38,0,0,9.666237041188008,883.01059588223,RB1;KDM5A;EHF;PHF1;CTCF;AHR;BRCA1;FOXM1;ELK1;ETS1;ETS2;GLI2;MED12;TRIM28;KAT5;MYC;EP300;MYBL2;SOX4;SMARCC1;SMARCC2;ARNT;HNF1B;RUNX3;HCFC1;PIAS1;RUNX1;ELF1;CREB1;ELF2;TAL1;TBL1XR1;TP53;CLOCK;HDAC2;DDX5;KMT2A;HDAC1;FOXO3;HIF1A;RELA;NRIP1;TBL1X;BRD7;SMAD2;ATF7IP;MBD4;EGR1;CREBBP;JUN;XRCC6;SMAD4;ZFHX3;SMAD3;NFYA;STAT1;STAT3;NR2F2;KLF4;ESR1;FLI1;SMARCA4;CD4;REST;SP1;SP3;HNRNPD;CTNNB1;TCF4;TCF3;NFE2L2;TP73,GO_Biological_Process_2018
positive regulation of gene expression (GO:0010628),81/771,2.181742719123893e-35,4.271180938592544e-33,0,0,6.871207430340557,548.3934993805748,RB1;KDM5A;ATF2;EHF;PHF1;CTCF;AHR;BRCA1;FOXM1;ELK1;ETS1;ETS2;GLI2;MED12;TRIM28;KAT5;MYC;EP300;MYBL2;SOX4;GABPA;SMARCC1;SMARCC2;TBP;ARNT;HNF1B;TERF2;RUNX3;HCFC1;PIAS1;RUNX1;ELF1;CREB1;ELF2;TAL1;TBL1XR1;TP53;CLOCK;HDAC2;DDX5;KMT2A;HDAC1;PIK3R1;FOXO3;HIF1A;RELA;POLR2A;NRIP1;POLR2E;TBL1X;ZBTB7B;BRD7;SMAD2;ATF7IP;MBD4;EGR1;CREBBP;JUN;XRCC6;SMAD4;ZFHX3;SMAD3;NFYA;STAT1;VDR;STAT3;NR2F2;KLF4;ESR1;FLI1;SMARCA4;CD4;REST;SP1;SP3;HNRNPD;CTNNB1;TCF4;TCF3;NFE2L2;TP73,GO_Biological_Process_2018
regulation of gene expression (GO:0010468),73/1037,4.314925643151279e-21,7.843918401300002e-19,0,0,4.262626769126625,199.88397622769887,RB1;ATF2;LDB1;ONECUT1;CTCF;AHR;BRCA1;CHD3;BMI1;NR3C1;BACH1;CELSR2;ETS1;MECP2;YY1;MYC;RACK1;UBTF;EP300;HRAS;SOX4;GABPA;DAXX;ATRX;TERF2;RUNX3;HCFC1;RBL2;MATR3;TP53;CLOCK;CEBPB;HDAC1;TGFBRAP1;ASCL1;NR2C2;ASCL2;HIF1A;HDAC6;RELA;TERT;POLR2A;ZBTB7B;ZKSCAN1;SUZ12;MBD4;EGR1;KDM4A;TCF7L2;CREBBP;TGFB2;ZFHX3;SMAD3;NFYA;NFYB;VDR;STAT3;KLF4;ESR1;PML;REST;SP1;CARM1;BHLHE40;SP3;CDK2;HNRNPD;ZNF217;TCF3;EZH2;NFE2L2;TP73;TAF1,GO_Biological_Process_2018
"DNA-templated transcription, initiation (GO:0006352)",28/186,1.0309240505156235e-16,1.7491344723748412e-14,0,0,9.161459736062485,337.2416327219777,GTF3C1;RARG;RRN3;CBFB;GTF2B;MAZ;RBPJ;NR3C1;NR2C2;MED12;RXRB;RXRA;TRIM28;POLR2A;UBTF;POLR2E;E2F3;GTF2I;MBD4;CREBBP;TBP;VDR;ESR1;CDK9;NR4A1;TAF7;TCF4;TAF1,GO_Biological_Process_2018
regulation of cell proliferation (GO:0042127),54/740,2.335761448445161e-16,3.7153205539330855e-14,0,0,4.252977925864223,153.07753463401417,RARG;CD40;CTCF;PTPRK;BRCA1;FOXM1;ETS1;MECP2;ESM1;MYC;JUNB;HRAS;SOX4;KCNH1;KLF10;SYK;PIAS1;LCK;RAF1;TP53;CEBPA;HDAC2;CTBP2;PRKDC;SRC;HDAC1;PDGFA;RELA;MNT;MXI1;HSF1;FYN;BRD7;E2F7;TCF7L2;JUN;XBP1;XRCC6;TGFB2;JAG1;JUND;VDR;LIF;KLF4;PML;PTK2;FOSL1;REST;BCL6;BHLHE40;CDK2;MDM2;CTNNB1;EIF4G1,GO_Biological_Process_2018
transcription initiation from RNA polymerase II promoter (GO:0006367),25/160,1.9183581143388058e-15,2.871894941760154e-13,0,0,9.508941659337438,322.2324226258459,RARG;CBFB;GTF2B;MAZ;RBPJ;NR3C1;NR2C2;MED12;RXRB;RXRA;TRIM28;POLR2A;POLR2E;E2F3;GTF2I;MBD4;CREBBP;TBP;VDR;ESR1;CDK9;NR4A1;TAF7;TCF4;TAF1,GO_Biological_Process_2018
regulation of cellular macromolecule biosynthetic process (GO:2000112),47/631,1.1348646320717211e-14,1.6045724936791833e-12,0,0,4.285925329035724,137.61968192590805,RB1;ATF2;CEBPB;LDB1;ONECUT1;TGFBRAP1;AHR;CHD3;SMC3;FOXO3;NR2C2;NR3C1;BACH1;ASCL2;HIF1A;CELSR2;RELA;POLR2A;UBTF;EP300;ZKSCAN1;SOX4;SUZ12;TCF7L2;CREBBP;DAXX;ZFHX3;NFYA;NFYB;STAT3;ATRX;RUNX3;ESR1;PML;HCFC1;REST;SP1;CARM1;BHLHE40;SP3;HNRNPD;ZNF217;TCF3;TP53;CLOCK;EZH2;TAF1,GO_Biological_Process_2018
regulation of nucleic acid-templated transcription (GO:1903506),45/607,5.1715073855958874e-14,6.927098050706069e-12,0,0,4.245333518373497,129.8776033419543,RB1;ATF2;CEBPB;LDB1;ONECUT1;TGFBRAP1;AHR;CHD3;NR2C2;NR3C1;BACH1;ASCL2;HIF1A;CELSR2;RELA;POLR2A;UBTF;EP300;ZKSCAN1;SOX4;SUZ12;TCF7L2;CREBBP;DAXX;ZFHX3;NFYA;NFYB;STAT3;ATRX;RUNX3;ESR1;PML;HCFC1;REST;SP1;CARM1;BHLHE40;SP3;HNRNPD;ZNF217;TCF3;TP53;CLOCK;EZH2;TAF1,GO_Biological_Process_2018
snRNA transcription (GO:0009301),16/70,5.242817162552184e-13,6.273789139916616e-11,0,0,14.923253150057274,421.9810571528425,CCNK;CCNT2;TBP;POU2F1;ELL;ICE1;ICE2;GTF2B;ELL2;CDK9;SNAPC1;POLR2A;SP1;SNAPC3;SNAPC4;POLR2E,GO_Biological_Process_2018
snRNA transcription from RNA polymerase II promoter (GO:0042795),16/70,5.242817162552184e-13,6.273789139916616e-11,0,0,14.923253150057274,421.9810571528425,CCNK;CCNT2;TBP;POU2F1;ELL;ICE1;ICE2;GTF2B;ELL2;CDK9;SNAPC1;POLR2A;SP1;SNAPC3;SNAPC4;POLR2E,GO_Biological_Process_2018
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",17/82,5.423314777138136e-13,6.273789139916616e-11,0,0,13.199244682965611,372.78493442974576,ATRX;BRCA1;FOXM1;PML;RBL2;TFDP1;KAT5;CARM1;CDK2;MDM2;EP300;E2F4;RPS27A;TP53;SOX4;E2F7;TP73,GO_Biological_Process_2018
positive regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902895),10/19,7.952430417120148e-13,8.799537135465554e-11,0,0,55.23688663282572,1538.906765834737,TGFB2;JUN;SMAD3;TERT;SRF;STAT3;HIF1A;TP53;RELA;SMARCA4,GO_Biological_Process_2018
chromatin remodeling (GO:0006338),18/116,1.9801100548132254e-11,2.0997417039581917e-09,0,0,9.277889394099608,228.6562152948575,RB1;MBD3;DAXX;SMARCC1;HDAC2;SMARCC2;CBX3;HDAC1;KMT2B;ATRX;MBD2;CHD4;ESR1;SMARCA4;MYC;UBTF;PADI2;TOP1,GO_Biological_Process_2018
nucleic acid-templated transcription (GO:0097659),15/76,2.71728163690492e-11,2.766192706369208e-09,0,0,12.348813687892452,300.4318683460548,MEF2A;GTF3C1;GTF3C2;CEBPA;LDB1;ARNT;NR3C1;GATA2;ASCL2;ESR1;POLR3A;TERT;POLR2A;POLR2E;TCF3,GO_Biological_Process_2018
regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902893),10/26,4.030100449561813e-11,3.944848324667237e-09,0,0,31.05964467005076,743.401560364162,TGFB2;JUN;SMAD3;TERT;SRF;STAT3;HIF1A;TP53;RELA;SMARCA4,GO_Biological_Process_2018
intracellular steroid hormone receptor signaling pathway (GO:0030518),14/66,4.487282751067525e-11,4.229679482024759e-09,0,0,13.491913214990138,321.4743618589269,RB1;MBD4;DAXX;DDX5;EGLN2;SRC;BRCA1;ESR1;PIAS1;MED12;KAT5;NRIP1;PADI2;CTNNB1,GO_Biological_Process_2018
regulation of signal transduction by p53 class mediator (GO:1901796),19/138,4.7054540604799876e-11,4.276921637114846e-09,0,0,8.07733275128233,192.0766606777396,MBD3;HDAC2;TBP;PHF20;HDAC1;CHD4;BRCA1;CHD3;PML;KAT5;CDK2;MDM2;EP300;TAF7;RPS27A;BRD7;TP53;TP73;TAF1,GO_Biological_Process_2018
negative regulation of cell cycle process (GO:0010948),15/81,7.106398617459125e-11,6.236477407390853e-09,0,0,11.410376256134612,266.6312874606349,SUZ12;CCNK;L3MBTL2;MAX;CBX3;BRCA1;BMI1;SMC3;SMC1A;CDK9;TFDP1;MDM2;E2F6;E2F7;EZH2,GO_Biological_Process_2018
positive regulation of cell cycle arrest (GO:0071158),15/82,8.539034589257012e-11,7.243947676553031e-09,0,0,11.23949660438169,260.57410725888286,BRCA1;RRP8;PML;RBL2;TFDP1;CARM1;CDK2;MDM2;EP300;E2F4;RPS27A;TP53;SOX4;E2F7;TP73,GO_Biological_Process_2018
histone modification (GO:0016570),16/98,1.1966030786083899e-10,9.82372527438178e-09,0,0,9.813427206437012,224.2011315685459,KDM4A;CREBBP;HDAC2;TRRAP;HDAC1;HDAC6;KAT5;SIN3B;TBL1XR1;SIN3A;CARM1;CDK2;EP300;PADI2;TBL1X;EZH2,GO_Biological_Process_2018
cellular response to transforming growth factor beta stimulus (GO:0071560),16/100,1.637732177429717e-10,1.3025088723620716e-08,0,0,9.57879234167894,215.83450687487476,SMAD2;KLF10;TGFB2;SMAD4;JUN;SMAD3;SRC;TGFBRAP1;PTPRK;ARRB2;NR3C1;CBL;PTK2;PDE3A;ANKRD1;RPS27A,GO_Biological_Process_2018
positive regulation of erythrocyte differentiation (GO:0045648),9/22,2.0200937196324483e-10,1.5579207625650246e-08,0,0,34.32268743914314,766.1752959715974,MBD4;STAT5B;STAT1;TAL1;STAT3;ARNT;FOXO3;ETS1;HIF1A,GO_Biological_Process_2018
beta-catenin-TCF complex assembly (GO:1904837),10/30,2.1208963122460243e-10,1.5875532690194506e-08,0,0,24.84263959390863,553.3452559493614,TCF7L2;CREBBP;TERT;KAT5;HDAC1;TRRAP;MYC;EP300;CTNNB1;SMARCA4,GO_Biological_Process_2018
signal transduction involved in mitotic G1 DNA damage checkpoint (GO:0072431),13/63,3.2265852903114865e-10,2.30453210905388e-08,0,0,12.997340153452685,284.0494155676081,PRKDC;PML;RBL2;TFDP1;CARM1;CDK2;MDM2;EP300;E2F4;RPS27A;TP53;SOX4;E2F7,GO_Biological_Process_2018
regulation of androgen receptor signaling pathway (GO:0060765),9/23,3.2598489558326003e-10,2.30453210905388e-08,0,0,31.86943942133816,696.1614546979691,HEYL;DDX5;HDAC1;TCF21;EP300;ARRB2;HDAC6;SMARCA4;FOXP1,GO_Biological_Process_2018
regulation of erythrocyte differentiation (GO:0045646),10/32,4.3926540729489244e-10,3.0214336799067605e-08,0,0,22.58191047531149,486.5479758730674,MBD4;STAT5B;LDB1;STAT1;TAL1;STAT3;ARNT;FOXO3;ETS1;HIF1A,GO_Biological_Process_2018
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418),14/78,4.762256626470983e-10,3.1894587143075405e-08,0,0,10.955448717948718,235.1601231919212,CREBBP;EGLN2;EPAS1;UBE2D2;ARNT;RBPJ;BACH1;HIF1A;PSMB8;PSMB4;PSMD4;EP300;RPS27A;NFE2L2,GO_Biological_Process_2018
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),15/93,5.467741673730645e-10,3.568051938370382e-08,0,0,9.649001384219892,205.7841102513384,CREBBP;EGLN2;EPAS1;UBE2D2;ARNT;BACH1;HIF1A;PSMB8;PSMB4;PSMD4;HSF1;EP300;RPS27A;ATF3;NFE2L2,GO_Biological_Process_2018
